2024-06-17 20:56:55,394 INFO:Starting system metrics collection...
2024-06-17 20:57:15,407 INFO:Collected metrics: {'cpu_usage': 41.0, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40467249, 'bytes_recv': 946151702, 'packets_sent': 234895, 'packets_recv': 676182, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:16,408 INFO:Collected metrics: {'cpu_usage': 10.8, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40467847, 'bytes_recv': 946152023, 'packets_sent': 234898, 'packets_recv': 676185, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:17,409 INFO:Collected metrics: {'cpu_usage': 7.0, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40468303, 'bytes_recv': 946152807, 'packets_sent': 234903, 'packets_recv': 676193, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:18,409 INFO:Collected metrics: {'cpu_usage': 7.2, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40468303, 'bytes_recv': 946152886, 'packets_sent': 234903, 'packets_recv': 676194, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:19,410 INFO:Collected metrics: {'cpu_usage': 2.8, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40468303, 'bytes_recv': 946152886, 'packets_sent': 234903, 'packets_recv': 676194, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:20,411 INFO:Collected metrics: {'cpu_usage': 3.0, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40469215, 'bytes_recv': 946153980, 'packets_sent': 234910, 'packets_recv': 676203, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:21,411 INFO:Collected metrics: {'cpu_usage': 7.9, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40470911, 'bytes_recv': 946154972, 'packets_sent': 234920, 'packets_recv': 676211, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:22,412 INFO:Collected metrics: {'cpu_usage': 11.3, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40470911, 'bytes_recv': 946155331, 'packets_sent': 234920, 'packets_recv': 676214, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:23,413 INFO:Collected metrics: {'cpu_usage': 10.7, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40470911, 'bytes_recv': 946155331, 'packets_sent': 234920, 'packets_recv': 676214, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:24,414 INFO:Collected metrics: {'cpu_usage': 7.2, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40470911, 'bytes_recv': 946155331, 'packets_sent': 234920, 'packets_recv': 676214, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
